benchmark,method,n_params,elapsed_mean,peak_mb,steps_per_second
Adv-Diff,fixed_bspline_pikan,910.0,1377.6345848499968,0.2194162,2.291636769589626
Adv-Diff,fixed_pikan,780.0,574.4856795700009,0.1911318,
Adv-Diff,mlp_pinn,8577.0,156.33363161999986,5.9762242,
Adv-Diff,ra_pikan,2860.0,2258.9839269199992,7.467746,
Adv-Diff,rad_pinn,8577.0,123.00020394999956,6.3388963,
Adv-Diff,uniform_pikan,2730.0,1202.8720988699981,1.3799053000000001,
Allen-Cahn,fixed_bspline_pikan,910.0,539.0419871800024,0.1948686,3.729161629914729
Allen-Cahn,fixed_pikan,780.0,90.98762140000363,0.12253030000000001,
Allen-Cahn,mlp_pinn,8577.0,45.28214983999989,11.6959857,
Allen-Cahn,ra_pikan,2860.0,746.4677276900038,24.8148668,
Allen-Cahn,rad_pinn,8577.0,27.72518021000252,6.2530244,
Allen-Cahn,uniform_pikan,2730.0,437.1259498999918,16.953238300000002,
Burgers,fixed_bspline_pikan,910.0,517.954847520002,4.275990866666667,3.8742314772241815
Burgers,fixed_pikan,780.0,62.32559616000314,0.11173466666666668,
Burgers,mlp_pinn,8577.0,26.235802979998212,7.852550666666667,
Burgers,ra_pikan,2860.0,1081.3597825000102,6.591235866666667,
Burgers,rad_pinn,8577.0,27.805502946670945,4.207139466666667,
Burgers,uniform_pikan,2730.0,483.2216120599982,1.3437536666666667,
Duffing,fixed_bspline_pikan,840.0,225.01840882000107,0.2017042,
Duffing,fixed_pikan,720.0,50.56320796000009,0.1612732,
Duffing,mlp_pinn,4353.0,15.393415060000098,12.3981766,
Duffing,ra_pikan,720.0,50.3850993,0.1373456,
Duffing,rad_pinn,4353.0,12.457238659996074,12.3946256,
Duffing,uniform_pikan,2640.0,228.0327775599988,0.19029020000000002,
